FCLTY_NM,FCLTY_LO,FCLTY_LA,KLANG_NM,ENGL_AREA_NM,JLANG_NM,CHNLNG_SIMCH_NM,CHNLNG_TRACH_NM,CTPRVN_CD,SIGNGU_CD,CTPRVN_KLANG_NM,SIGNGU_KLANG_NM,ADSTRD_KLANG_NM,CTPRVN_JLANG_NM,SIGNGU_JLANG_NM,ADSTRD_JLANG_NM,BASE_DE
가평/쁘띠프랑스,999131.0,1968379.0,가평쁘띠프랑스,Petite France,プチフランス,加平小法?西,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
산장/국민관광지,992262.0,1972726.0,산장국민관광지,,山??民?光地,山庄?民?光地,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
금강유원지,1005675.0,1990830.0,금강유원지,Geumgang Resort,錦江遊園地,?江游?地,錦江遊園區,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
번창유원지,984864.0,1979808.0,번창유원지,,ポンチャン遊園地,繁?游??,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
생텍쥐페리기념관,999177.7855,1968403.5,생텍쥐페리기념관,,,?埃克?佩里?念?,聖埃克蘇佩里紀念館,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
에델바이스,995417.43,1963122.5,에델바이스,,エ?デルワイス,,,41,41820,경기,가평군,설악면,京畿道,加平郡,雪岳面,2021-12-31
J잔디가든/유원지,988480.0,1989085.0,J잔디가든유원지,,J芝ガ?デン遊園地,草坪花?游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
가족유원지,989895.0,1974284.0,가족유원지,,家族遊園地,家庭游??,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
꿈의동산/놀이공원,998823.0,1976005.0,꿈의동산놀이공원,,ドリ?ム遊園地,?之花?游??,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
녹천유원지,986818.0,1982927.0,녹천유원지,,ノクチョン遊園地,?天游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
대보농원/유원지,990143.0,1978149.0,대보농원유원지,,大報農園遊園地,大浦??游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
돌섬유원지,991312.0,1973340.0,돌섬유원지,,トルソム遊園地,石?游???墅,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
민경유원지,987170.0,1984266.0,민경유원지,,ミンギョン遊園地,民景游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
북한강유원지,1002023.0,1981183.0,북한강유원지,,北漢江遊園地,北?江  游??,,41,41820,경기,가평군,가평읍,京畿道,加平郡,加平邑,2021-12-31
빨강농구대/쉼터,990865.0,1977503.0,빨강농구대쉼터,,赤バスケットゴ?ル憩いの場,?色?球架休息?,,41,41820,경기,가평군,조종면,,,,2021-12-31
선녀탕유원지,996652.0,1996250.0,선녀탕유원지,,仙女湯遊園地,仙女浴池游??,,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
성모유원지,989386.0,1968804.0,성모유원지,,聖母遊園地,?母游??,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
소법유원지,1005561.0,1990106.0,소법유원지,,所法遊園地,所法游??,,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
용추유원지,986542.0,1983504.0,용추유원지,,龍湫遊園地,?秋游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
원두막유원지,985739.0,1980045.0,원두막유원지,Recreation Area,園頭幕遊園地,瓜棚游??,遊園區,41,41820,경기,가평군,조종면,,,,2021-12-31
조무락골/유원지,995376.0,1998567.0,조무락골유원지,Recreation Area,鳥舞?谷遊園地,?舞?谷游??,遊園區,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
청명유원지,993424.0,1970376.0,청명유원지,Recreation Area,?平遊園地,?明游??,遊園區,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
청석골유원지,981641.0,1975873.0,청석골유원지,Recreation Area,チョンソッコル遊園地,?岩谷游??,遊園區,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
청수유원지,991130.0,1973289.0,청수유원지,Recreation Area,?水遊園地,?水游??,遊園區,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
청정유원지,1005580.0,1989544.0,청정유원지,Recreation Area,??遊園地,??游??,遊園區,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
청평산장호텔/유원지,993026.0,1972161.0,청평산장호텔유원지,Recreation Area,?平山?ホテル遊園地,虎??平山庄酒店游??,遊園區,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
청평유원지,991913.0,1970009.0,청평유원지,Recreation Area,?平遊園地,?平游??,遊園區,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
청평자연/유원지,994103.0,1971054.0,청평자연유원지,Recreation Area,?平自然遊園地,?平自然休?林,遊園區,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
포도나무유원지,996307.0,1996419.0,포도나무유원지,,ポドナム遊園地,,,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
화악산밤나무/유원지,1003363.0,1993360.0,화악산밤나무유원지,Recreation Area,華岳山パムナム遊園地,?岳山栗子游??,遊園區,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
남이섬/춘천닭갈비마을,1002220.0,1978484.0,남이섬춘천닭갈비마을,,,南怡?春川?板?村,,41,41820,경기,가평군,가평읍,京畿道,加平郡,加平邑,2021-12-31
양수리카페촌,989469.0,1962825.0,양수리카페촌,,,?水里??街,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
청평호반/매운탕촌,993424.0,1969209.0,청평호반매운탕촌,,,?平湖畔辣??村,,41,41820,경기,가평군,설악면,京畿道,加平郡,雪岳面,2021-12-31
청평호반매운탕촌,993401.0,1970306.0,청평호반매운탕촌,,,?平湖畔辣??村,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
골든에이스글로벌,960314.0,1945061.0,골든에이스글로벌,,ゴ?ルデンエイスグロ?バル,,,11,41820,서울,강남구,대치4동,ソウル特別市,江南?,大峙4洞,2021-12-31
가로수길,957835.0,1946957.0,가로수길,Garosu-gil Road,?木道,林??路,林蔭道,11,41820,서울,강남구,신사동,ソウル特別市,江南?,新沙洞,2021-12-31
논현동포차골목,957985.0,1945348.0,논현동포차골목,Nonhyeondong cart bar Alley,,??洞????街,,11,41820,서울,강남구,논현1동,ソウル特別市,江南?,論峴1洞,2021-12-31
신의주찹쌀순대,959113.0,1947051.0,신의주찹쌀순대,Sinuiju Korean Sausage with Sweet Rice,新義州もち米スンデ,新?州?米米?,新義州?米?血粉腸,11,41820,서울,강남구,논현2동,ソウル特別市,江南?,論峴2洞,2021-12-31
압구정/로데오거리,959096.0,1947600.0,압구정로데오거리,Apgujeong Rodeo Street,狎?亭ロデオ通り,狎?亭?德?街,狎鷗亭羅德奧街,11,41820,서울,강남구,압구정동,ソウル特別市,江南?,狎?亭洞,2021-12-31
압구정/카페골목,959091.0,1947432.0,압구정카페골목,Apgujeong Cafe Alley,,狎?亭??街,,11,41820,서울,강남구,압구정동,ソウル特別市,江南?,狎?亭洞,2021-12-31
청담동/명품거리,959861.0,1947542.0,청담동명품거리,Chengdam-dong luxury street,,?潭洞名品街,,11,41820,서울,강남구,청담동,ソウル特別市,江南?,?潭洞,2021-12-31
테헤란로,959872.0,1945028.0,테헤란로,Teheran-ro,,德黑?路,,11,41820,서울,강남구,역삼2동,ソウル特別市,江南?,?三2洞,2021-12-31
LG아트센터,959122.6381,1944878.671,LG아트센터,LG Arts Center,LGア?トセンタ?,LG??中心,LG藝術中心 (LG),11,41820,서울,강남구,역삼1동,ソウル特別市,江南?,?三1洞,2021-12-31
예림당아트홀,959725.7813,1944378.156,예림당아트홀,Yearimdang Art Hall,イェリムダンア?トホ?ル,熊津Thinkbig???,,11,41820,서울,강남구,역삼2동,ソウル特別市,江南?,?三2洞,2021-12-31
강남관광정보센터,958204.4744,1947606.222,강남관광정보센터,Gangnam Tourist Information Center,江南?光情報センタ?,江南旅游信息中心,江南旅遊資訊中心,11,41820,서울,강남구,신사동,ソウル特別市,江南?,新沙洞,2021-12-31
한국자수박물관,958758.7571,1946339.674,한국자수박물관,Museum of Korean Embroidery,韓?刺?博物館,??刺?博物?,韓國刺繡博物館,11,41820,서울,강남구,논현2동,ソウル特別市,江南?,論峴2洞,2021-12-31
광나루/자전거공원,966289.0,1949615.0,광나루자전거공원,Gwangnaru Bicycle Park,クァンナル自?車公園,?渡口脚?公?,,11,11740,서울,강동구,천호2동,ソウル特別市,江東?,千?2洞,2021-12-31
당리순대국,969569.0,1949734.0,당리순대국,Dangni Korean Blood Sausag Soup,,堂里血??,,11,11740,서울,강동구,명일2동,ソウル特別市,江東?,明逸2洞,2021-12-31
병천토속순대,967904.0,1948532.0,병천토속순대,Byeongcheon folk sundae,竝川スンデ,竝川米?,竝川?血粉腸,11,11740,서울,강동구,길동,ソウル特別市,江東?,吉洞,2021-12-31
생고기와순대국,967571.0,1948287.0,생고기와순대국,Saeng-gogi & Sundaeguk,,,,11,11740,서울,강동구,성내2동,ソウル特別市,江東?,星?2洞,2021-12-31
천호동/로데오거리,967087.0,1948917.0,천호동로데오거리,Cheonhodong Rodeo Street,,千?洞?德???街,,11,11740,서울,강동구,천호3동,ソウル特別市,江東?,千?3洞,2021-12-31
천호디자인거리,967403.0,1948619.0,천호디자인거리,Cheonho design street,,千???街,,11,11740,서울,강동구,성내2동,ソウル特別市,江東?,星?2洞,2021-12-31
천호문구/완구거리,966674.0,1948988.0,천호문구완구거리,Cheonho Stationary Town,,千?文具玩具街,,11,11740,서울,강동구,천호2동,ソウル特別市,江東?,千?2洞,2021-12-31
한강자전거도로(광나루지구),966541.0,1950152.0,한강자전거도로(광나루지구),Hangang River cycle lane(Gwangnaru Area),,?渡口自行?公?,,11,11740,서울,강동구,암사2동,ソウル特別市,江東?,岩寺2洞,2021-12-31
모래시계공원,1135617.0,1966380.0,모래시계공원,Sandglass Park,砂時計公園,沙漏公?,沙漏公園,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
정동진,1135166.0,1966861.0,정동진,Jeongdongjin,正東津,正?津,正東津,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
정동진조각공원,1135929.0,1966040.0,정동진조각공원,,正東津彫刻公園,正?津雕刻公?,,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
정동진해돋이공원,1136195.0,1965962.0,정동진해돋이공원,,正東津日の出公園,正?津日出公?,,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
조각공원,1135929.0,1966040.0,조각공원,Sculpture Park,彫刻公園,雕刻公?,雕刻公園,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
해돋이공원,1136195.0,1965962.0,해돋이공원,Park,パ?ク,日出公?,公園,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
강릉솔향/수목원,1119930.0,1967144.0,강릉솔향수목원,,江陵松香樹木園,江陵松香?木?,,42,42150,강원,강릉시,구정면,江原道,江陵市,邱井面,2021-12-31
경포랜드,1123011.0,1979304.0,경포랜드,,鏡浦ランド,?浦??,,42,42150,강원,강릉시,경포동,江原道,江陵市,鏡浦洞,2021-12-31
소금강유원지,1105713.0,1979675.0,소금강유원지,Sogeumgang Valley,小金剛遊園地,小金?游??,,42,42150,강원,강릉시,연곡면,江原道,江陵市,連谷面,2021-12-31
용원사파리/동산,1114832.0,1977311.0,용원사파리동산,,ヨンウォンサファリ動物園,?院Safari?山,,42,42150,강원,강릉시,사천면,江原道,江陵市,泗川面,2021-12-31
강릉먹자골목,1123183.0,1973741.0,강릉먹자골목,,,江陵美食街,,42,42150,강원,강릉시,중앙동,江原道,江陵市,中央洞,2021-12-31
강릉카페거리,1127587.0,1975643.0,강릉카페거리,,,江陵??街,,42,42150,강원,강릉시,송정동,江原道,江陵市,松亭洞,2021-12-31
안목카페거리,1127276.0,1975877.0,안목카페거리,,,安木??街,,42,42150,강원,강릉시,송정동,江原道,江陵市,松亭洞,2021-12-31
초당순두부/마을,1124666.0,1977786.0,초당순두부마을,Chodang Sundubu Village,草堂スンドゥブ村,草堂嫩豆腐村,,42,42150,강원,강릉시,초당동,江原道,江陵市,草堂洞,2021-12-31
강원바우길/11구간,1119318.0,1977212.0,강원바우길11구간,,,,,42,42150,강원,강릉시,경포동,江原道,江陵市,鏡浦洞,2021-12-31
강원바우길/11구간,1121641.0,1978240.0,강원바우길11구간,,,,,42,42150,강원,강릉시,경포동,江原道,江陵市,鏡浦洞,2021-12-31
강원바우길/2구간,1114319.0,1968883.0,강원바우길2구간,,,,,42,42150,강원,강릉시,성산면,江原道,江陵市,城山面,2021-12-31
강원바우길/2구간,1111914.0,1967109.0,강원바우길2구간,,,,,42,42150,강원,강릉시,성산면,江原道,江陵市,城山面,2021-12-31
강원바우길/3구간,1111696.0,1973858.0,강원바우길3구간,,,,,42,42150,강원,강릉시,성산면,江原道,江陵市,城山面,2021-12-31
강원바우길/4구간,1115385.0,1977211.0,강원바우길4구간,,,,,42,42150,강원,강릉시,사천면,江原道,江陵市,泗川面,2021-12-31
강원바우길/4구간,1117919.0,1980175.0,강원바우길4구간,,,,,42,42150,강원,강릉시,사천면,江原道,江陵市,泗川面,2021-12-31
강원바우길/5구간,1125222.0,1977901.0,강원바우길5구간,,,,,42,42150,강원,강릉시,초당동,江原道,江陵市,草堂洞,2021-12-31
강원바우길/6구간,1125835.0,1974229.0,강원바우길6구간,,,,,42,42150,강원,강릉시,성덕동,江原道,江陵市,聖?洞,2021-12-31
강원바우길/6구간,1123319.0,1972667.0,강원바우길6구간,,,,,42,42150,강원,강릉시,강남동,江原道,江陵市,江南洞,2021-12-31
강원바우길/7구간,1128166.0,1970799.0,강원바우길7구간,,,,,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
강원바우길/7구간,1125703.0,1968321.0,강원바우길7구간,,,,,42,42150,강원,강릉시,구정면,江原道,江陵市,邱井面,2021-12-31
강원바우길/8구간,1132278.0,1968470.0,강원바우길8구간,,,,,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
강원바우길/9구간,1136157.0,1961401.0,강원바우길9구간,,,,,42,42150,강원,강릉시,옥계면,江原道,江陵市,玉?面,2021-12-31
강원바우길/9구간,1136775.0,1964091.0,강원바우길9구간,,,,,42,42150,강원,강릉시,강동면,江原道,江陵市,江東面,2021-12-31
모정탑길,1109426.0,1953176.0,모정탑길,,,,,42,42150,강원,강릉시,왕산면,江原道,江陵市,旺山面,2021-12-31
우이공원/유원지,956599.0,1963330.0,우이공원유원지,Ui Park & Amusement Park,牛耳公園遊園地,牛耳公?游??,,11,11305,서울,강북구,우이동,ソウル特別市,江北?,牛耳洞,2021-12-31
우이동유원지,956545.0,1963462.0,우이동유원지,Uidong Amusement Park,牛耳洞遊園地,牛耳洞游?地,牛耳洞遊園地,11,11305,서울,강북구,우이동,ソウル特別市,江北?,牛耳洞,2021-12-31
둘레길1구간,955961.0,1960201.0,둘레길1구간,Dulle-gil course 1,,步行路1?,,11,11305,서울,강북구,인수동,ソウル特別市,江北?,仁水洞,2021-12-31
둘레길/순례길구간,956316.0,1961226.0,둘레길순례길구간,Dulegil Pilgrimage Road Course,,,,11,11305,서울,강북구,우이동,ソウル特別市,江北?,牛耳洞,2021-12-31
순국선열묘역/순례길,956067.0,1960432.0,순국선열묘역순례길,Pilgrimage Road of Patriotic Martyrs Cemetery,,殉?先烈墓域巡?路,,11,11305,서울,강북구,인수동,ソウル特別市,江北?,仁水洞,2021-12-31
우이동/먹거리마을,956912.0,1962926.0,우이동먹거리마을,Uidong Cuisine Village,,牛耳洞美食村,,11,11305,서울,강북구,우이동,ソウル特別市,江北?,牛耳洞,2021-12-31
봉황각,956445.2378,1962421.742,봉황각,Bonghwanggak (Pavilion),鳳凰閣,?凰?,鳳凰閣,11,11305,서울,강북구,우이동,ソウル特別市,江北?,牛耳洞,2021-12-31
강서오리마을,1132529.0,1685479.0,강서오리마을,Gangseo Ori-maeul,,江西?子村,,26,26440,부산,강서구,대저2동,釜山?域市,江西?,大渚2洞,2021-12-31
명지선창/회타운,1130261.0,1679426.0,명지선창회타운,Myongji Seonchang Hoe Town,,?旨船?生?片城,,26,26440,부산,강서구,명지동,釜山?域市,江西?,鳴旨洞,2021-12-31
롯데몰김포공항/스카이파크,938416.0,1951752.0,롯데몰김포공항스카이파크,Lotte Mall Gimpo International Airport Sky Park,ロッテモ?ル金浦空港スカイパ?ク,?天?金浦机?天空公?,,11,11500,서울,강서구,방화2동,ソウル特別市,江西?,傍花2洞,2021-12-31
한강자전거도로(강서지구),938561.0,1955454.0,한강자전거도로(강서지구),Hangang River cycle lane(Gangseo Area),,?江脚?路(江西地?),,11,11500,서울,강서구,방화2동,ソウル特別市,江西?,傍花2洞,2021-12-31
가우도출렁다리,933238.0,1615151.0,가우도출렁다리,,加牛島つり橋,,,46,46810,전남,강진군,도암면,全羅南道,康津郡,道岩面,2021-12-31
가우도출렁다리,934872.0,1615953.0,가우도출렁다리,,加牛島つり橋,,,46,46810,전남,강진군,대구면,全羅南道,康津郡,大邱面,2021-12-31
탐진강유원지,936773.0,1627053.0,탐진강유원지,Recreation Area,耽津江遊園地,游??,遊園區,46,46810,전남,강진군,군동면,全羅南道,康津郡,郡東面,2021-12-31
강진보은산브이랜드,932416.5771,1628902.2,강진보은산브이랜드,,康津?恩山ブイランド,,,46,46810,전남,강진군,강진읍,全羅南道,康津郡,康津邑,2021-12-31
강화도남단해안도로,913252.0,1970999.0,강화도남단해안도로,,江華島南端海岸道路,,,28,28710,인천,강화군,강화읍,仁川?域市,江華郡,江華邑,2021-12-31
강화도동부해안도로,913468.0,1965668.0,강화도동부해안도로,,江華島東部海岸道路,,,28,28710,인천,강화군,불은면,仁川?域市,江華郡,?恩面,2021-12-31
강화/아르미애월드,906195.0,1967603.0,강화아르미애월드,Ganghwa Armiae World,江華アルミエワ?ルド,江?阿?米雅公?,,28,28710,인천,강화군,불은면,仁川?域市,江華郡,?恩面,2021-12-31
동막유원지,907928.0,1955355.0,동막유원지,Dongmak Amusement Park,東幕遊園地,?幕游??,,28,28710,인천,강화군,화도면,仁川?域市,江華郡,和道面,2021-12-31
강화/로얄워터파크,910637.0,1958842.0,강화로얄워터파크,Ganghwa  Royal Water Park,江華ロイヤルウォ?タ?パ?ク,江?皇家水上??,,28,28710,인천,강화군,길상면,仁川?域市,江華郡,吉祥面,2021-12-31
강화더러미/장어거리,913032.0,1969795.0,강화더러미장어거리,Ganghwa Deorimi Jangeo Street,,德里美??街,,28,28710,인천,강화군,선원면,仁川?域市,江華郡,仙源面,2021-12-31
강화창후리/황복마을,899314.0,1975045.0,강화창후리황복마을,Ganghwa Changhuri Yellow Puffer Fish Village,,江??后里??村,,28,28710,인천,강화군,하점면,仁川?域市,江華郡,河岾面,2021-12-31
더리미/장어구이마을,912994.0,1969753.0,더리미장어구이마을,Deorimi Jangeo Village,,德里美???村,,28,28710,인천,강화군,선원면,仁川?域市,江華郡,仙源面,2021-12-31
후포밴댕이마을,902230.0,1960670.0,후포밴댕이마을,Hupo Baendaengi Village,,后浦???村,,28,28710,인천,강화군,화도면,仁川?域市,江華郡,和道面,2021-12-31
강화나들길1코스/심도역사문화길,910003.0,1973175.0,강화나들길1코스심도역사문화길,"Ganghwa Nadeul Road Course 1, Simdo History-Culture Road",,,,28,28710,인천,강화군,강화읍,仁川?域市,江華郡,江華邑,2021-12-31
강화나들길1코스/심도역사문화길,912886.0,1974895.0,강화나들길1코스심도역사문화길,"Ganghwa Nadeul Road Course 1, Simdo History-Culture Road",,,,28,28710,인천,강화군,강화읍,仁川?域市,江華郡,江華邑,2021-12-31
강화나들길/2코스,913818.0,1967257.0,강화나들길2코스,Ganghwa Nadeul Road Course 2,,,,28,28710,인천,강화군,선원면,仁川?域市,江華郡,仙源面,2021-12-31
강화나들길/2코스,914248.0,1963171.0,강화나들길2코스,Ganghwa Nadeul Road Course 2,,,,28,28710,인천,강화군,불은면,仁川?域市,江華郡,?恩面,2021-12-31
강화나들길/3코스,909827.0,1962013.0,강화나들길3코스,Ganghwa Nadeul Road Course 3,,,,28,28710,인천,강화군,길상면,仁川?域市,江華郡,吉祥面,2021-12-31
강화나들길/3코스,907995.0,1963854.0,강화나들길3코스,Ganghwa Nadeul Road Course 3,,,,28,28710,인천,강화군,양도면,仁川?域市,江華郡,良道面,2021-12-31
강화나들길/4코스,904334.0,1963955.0,강화나들길4코스,Ganghwa Nadeul Road Course 4,,,,28,28710,인천,강화군,양도면,仁川?域市,江華郡,良道面,2021-12-31
강화나들길/5코스,903167.0,1970725.0,강화나들길5코스,Ganghwa Nadeul Road Course 5,,,,28,28710,인천,강화군,내가면,仁川?域市,江華郡,?可面,2021-12-31
강화나들길/5코스,906944.0,1971899.0,강화나들길5코스,Ganghwa Nadeul Road Course 5,,,,28,28710,인천,강화군,강화읍,仁川?域市,江華郡,江華邑,2021-12-31
강화나들길/6코스,911727.0,1969791.0,강화나들길6코스,Ganghwa Nadeul Road Course 6,,,,28,28710,인천,강화군,선원면,仁川?域市,江華郡,仙源面,2021-12-31
강화나들길/6코스,911052.0,1965305.0,강화나들길6코스,Ganghwa Nadeul Road Course 6,,,,28,28710,인천,강화군,불은면,仁川?域市,江華郡,?恩面,2021-12-31
강화나들길/7코스,903242.0,1958170.0,강화나들길7코스,Ganghwa Nadeul Road Course 7,,,,28,28710,인천,강화군,화도면,仁川?域市,江華郡,和道面,2021-12-31
강화나들길/7코스,901204.0,1959519.0,강화나들길7코스,Ganghwa Nadeul Road Course 7,,,,28,28710,인천,강화군,화도면,仁川?域市,江華郡,和道面,2021-12-31
강화나들길/8코스,911443.0,1955877.0,강화나들길8코스,Ganghwa Nadeul Road Course 8,,,,28,28710,인천,강화군,길상면,仁川?域市,江華郡,吉祥面,2021-12-31
강화나들길/고려왕릉길,911631.0,1974275.0,강화나들길고려왕릉길,Ganghwa Nadeul Road to the Royal Tombs,,,,28,28710,인천,강화군,강화읍,仁川?域市,江華郡,江華邑,2021-12-31
강화나들길/바닷가돈대길,913253.0,1964075.0,강화나들길바닷가돈대길,Ganghwa Nadeul Road to Dondae Seaside Road,,,,28,28710,인천,강화군,불은면,仁川?域市,江華郡,?恩面,2021-12-31
강화나들길/바닷가돈대길,913825.0,1967347.0,강화나들길바닷가돈대길,Ganghwa Nadeul Road to Dondae Seaside Road,,,,28,28710,인천,강화군,선원면,仁川?域市,江華郡,仙源面,2021-12-31
강화나들길/심도로드는길,912453.0,1974879.0,강화나들길심도로드는길,Ganghwa Nadeul Road to Simdo,,,,28,28710,인천,강화군,강화읍,仁川?域市,江華郡,江華邑,2021-12-31
강화나들길/심도로드는길,911052.0,1973877.0,강화나들길심도로드는길,Ganghwa Nadeul Road to Simdo,,,,28,28710,인천,강화군,강화읍,仁川?域市,江華郡,江華邑,2021-12-31
강화나들길/아름다운노을길,903574.0,1966297.0,강화나들길아름다운노을길,Ganghwa Nadeul Road of Beautiful Sunset,,,,28,28710,인천,강화군,양도면,仁川?域市,江華郡,良道面,2021-12-31
강화나들길/아름다운노을길,904497.0,1963787.0,강화나들길아름다운노을길,Ganghwa Nadeul Road of Beautiful Sunset,,,,28,28710,인천,강화군,양도면,仁川?域市,江華郡,良道面,2021-12-31
거제자연/예술랜드,1102743.0,1647358.0,거제자연예술랜드,,巨?自然芸術ランド,巨?自然????,,48,48310,경남,거제시,동부면,慶?南道,巨?市,東部面,2021-12-31
김영삼대통령생가,1110982.0,1660315.0,김영삼대통령생가,,金泳三大統領生家,,,48,48310,경남,거제시,장목면,慶?南道,巨?市,長木面,2021-12-31
신선대,1106489.0,1638775.0,신선대,Sinseondae Terrace,神仙台,神仙台,神仙臺,48,48310,경남,거제시,남부면,慶?南道,巨?市,南部面,2021-12-31
오량성,1090945.0,1655323.0,오량성,,烏良城,,,48,48310,경남,거제시,사등면,慶?南道,巨?市,沙等面,2021-12-31
홍포전망대,1101659.85,1634938.51,홍포전망대,,虹浦展望台,,,48,48310,경남,거제시,남부면,慶?南道,巨?市,南部面,2021-12-31
거제도포로수용소유적공원,1102785.26,1654013.77,거제도포로수용소유적공원,"Historic Park of Geoje, P.O.W. Camp",巨?捕虜?容所遺跡公園,巨???收容所?址公?,,48,48310,경남,거제시,고현동,慶?南道,巨?市,古?洞,2021-12-31
거제알로에테마파크,1096942.49,1649535.62,거제알로에테마파크,,巨?アロエテ?マパ?ク,,,48,48310,경남,거제시,거제면,慶?南道,巨?市,巨?面,2021-12-31
공곶이,1110998.55,1645144.46,공곶이,,コンゴジ,,,48,48310,경남,거제시,일운면,慶?南道,巨?市,一運面,2021-12-31
맹종죽테마파크,1105023.47,1664270.21,맹종죽테마파크,,孟宗竹テ?マパ?ク,,,48,48310,경남,거제시,하청면,慶?南道,巨?市,河?面,2021-12-31
해송키즈랜드,1110665.979,1663347.564,해송키즈랜드,,ヘソンキッズランド,,,48,48310,경남,거제시,장목면,慶?南道,巨?市,長木面,2021-12-31
거제도키즈랜드,1111068.14,1662871.16,거제도키즈랜드,,巨?島キッズランド,,,48,48310,경남,거제시,장목면,慶?南道,巨?市,長木面,2021-12-31
오션베이,1109958.28,1650540.95,오션베이,,オ?シャンベイ,,,48,48310,경남,거제시,일운면,慶?南道,巨?市,一運面,2021-12-31
수승대/국민관광지,1030004.0,1751647.0,수승대국민관광지,,?勝台?民?光地,搜?台旅游?,,48,48880,경남,거창군,위천면,慶?南道,居昌郡,渭川面,2021-12-31
장풍숲,1032057.0,1748445.0,장풍숲,,?風の森,,,48,48880,경남,거창군,마리면,慶?南道,居昌郡,馬利面,2021-12-31
황산전통한옥마을,1030602.561,1751813.667,황산전통한옥마을,,?山?統韓屋村,,,48,48880,경남,거창군,위천면,慶?南道,居昌郡,渭川面,2021-12-31
거창사과테마파크,1033646.0,1764836.0,거창사과테마파크,,居昌リンゴテ?マパ?ク,,,48,48880,경남,거창군,고제면,慶?南道,居昌郡,高梯面,2021-12-31
거창군자연/발생유원지,1048578.0,1747885.0,거창군자연발생유원지,,居昌郡自然?生遊園地,,,48,48880,경남,거창군,가조면,慶?南道,居昌郡,加祚面,2021-12-31
거창유원지,1035450.0,1740412.0,거창유원지,,居昌遊園地,,,48,48880,경남,거창군,거창읍,慶?南道,居昌郡,居昌邑,2021-12-31
거창유원지,1034369.0,1744084.0,거창유원지,,居昌遊園地,,,48,48880,경남,거창군,거창읍,慶?南道,居昌郡,居昌邑,2021-12-31
거창황산마을/돌담길,1030589.0,1751808.0,거창황산마을돌담길,,,,,48,48880,경남,거창군,위천면,慶?南道,居昌郡,渭川面,2021-12-31
하양유원지,1116216.0,1766757.0,하양유원지,Recreation Area,河陽遊園地,河?游??,遊園區,47,47290,경북,경산시,하양읍,慶?北道,慶山市,河陽邑,2021-12-31
경산스파월드,1111740.0,1752274.0,경산스파월드,,慶山スパワ?ルド,,,47,47290,경북,경산시,남천면,慶?北道,慶山市,南川面,2021-12-31
오렌지타운/거리,1113272.0,1760835.0,오렌지타운거리,,,,,47,47290,경북,경산시,북부동,慶?北道,慶山市,北部洞,2021-12-31
반월성,1155804.0,1760899.0,반월성,,半月城,半月城,,47,47130,경북,경주시,월성동,慶?北道,慶州市,月城洞,2021-12-31
보문관광단지,1161349.0,1762189.0,보문관광단지,Bomun Tourist Complex,普門?光?地,普?旅游?,普門觀光園區,47,47130,경북,경주시,보덕동,慶?北道,慶州市,普?洞,2021-12-31
